DATE,PATH,TARGET,PC1,PC2,EYF3,EYF6,EYF9,EYF12,JGBF,flag_30min
2008/8/1,0.00271472,0.002979556,0.258187293,-0.154385344,0.002258065,0.004516129,0.004354839,0.006612903,0.007723082,1
2008/9/1,0.004773591,-0.003848977,0.050016325,-0.366351988,-0.004666667,-0.002333333,0.003,-0.001666667,0.006415501,1
2008/10/1,0.010317885,0.008034156,0.710068688,-0.549974194,0.007096774,0.01,0.033225806,0.003709677,0.034342512,1
2008/11/1,-0.00795525,0.007218037,0.346480875,0.394538613,0.004166667,0.009166667,0.010333333,-0.011333333,0.0278127,1
2008/12/1,0.02041981,-0.026472965,-0.442332172,-1.551254652,-0.026451613,-0.023709677,-0.010645161,-0.003709677,-0.016421182,1
2009/1/1,-0.001802332,-0.018342492,-0.648648085,-0.210777128,-0.016774194,-0.021129032,-0.020806452,-0.019354839,-0.058488739,1
2009/2/1,-0.0077081,0.005820316,0.204969934,0.414771562,0.006964286,0.003214286,-0.000357143,-0.002321429,-0.019392459,1
2009/3/1,-0.009479056,0.016326037,0.584961349,0.648284371,0.015806452,0.015806452,0.009032258,0.005645161,-0.007965814,1
2009/4/1,-0.001926524,-0.007678892,-0.18550465,-0.088055139,-0.009833333,-0.005833333,-0.0055,-0.014166667,-0.012018522,1
2009/5/1,0.009288283,-0.006675607,0.069527249,-0.66792721,-0.005967742,-0.006451613,0.00483871,0,0.005925909,1
2009/6/1,0.003740274,-0.002833074,0.08508056,-0.306644797,0,-0.006,0.0025,0,0.005107315,1
2009/7/1,0.005709235,-0.000244492,0.20737065,-0.366345314,0,0.00016129,0.008064516,0.002741935,-0.002088113,1
2009/8/1,0.002131226,-0.000546595,0.137515303,-0.187251521,0,-0.001129032,0.004516129,-0.001129032,0.002100536,1
2009/9/1,-0.000970285,-0.000355817,0.053650643,-0.002554868,0.002333333,-0.004,0,-0.001666667,-0.000133492,1
2009/10/1,-0.004656007,0.001918504,0.117357719,0.197116643,0.002741935,0.00016129,-0.002258065,-0.002580645,-0.000564457,1
2009/11/1,0.00455498,0.000701479,0.298048445,-0.335726747,0,0.002166667,0.0075,0.002666667,0.006759802,1
2009/12/1,-0.003990643,0.055135084,2.301409473,0.82809317,0.06,0.05,0.052741935,0.052741935,0.044449383,1
2010/1/1,-0.003421477,0.001618536,0.07999927,0.15586617,0.000967742,0.001935484,-0.001774194,-0.001774194,-0.008743808,1
2010/2/1,-0.002766404,0.007464394,0.377792604,0.167810795,0.004464286,0.010892857,0.006428571,0.0025,-0.009504406,1
2010/3/1,-0.005465048,0.004246491,0.186617513,0.274848778,0.002419355,0.005645161,0.000806452,-0.003225806,0.00644767,1
2010/4/1,-0.003986457,0.00435061,0.242804031,0.184544646,0.002333333,0.006333333,0.001,-0.0005,0.01672588,1
2010/5/1,-0.003749831,-0.006909775,-0.097275004,-0.034293489,-0.007903226,-0.006774194,-0.006774194,-0.014516129,0.006335529,1
2010/6/1,-0.003524474,0.003640724,0.237687612,0.14269768,0.003333333,0.003333333,0.003333333,-0.002666667,0.005568988,1
2010/7/1,-0.000300661,-0.001130485,0.060303756,-0.062130378,0,-0.002741935,0,-0.002419355,0.002030836,1
2010/8/1,0.005636956,0.000743434,0.261760766,-0.358963233,0.000645161,0.001935484,0.004516129,0.007741935,0.003114611,1
2010/9/1,0.004414011,0.005987356,0.533606794,-0.274967822,0.005666667,0.007166667,0.012,0.008666667,-0.01775409,1
2010/10/1,0.007448421,-0.014470221,-0.298810978,-0.659661029,-0.014193548,-0.014193548,-0.005483871,-0.009193548,-0.021736425,1
2010/11/1,0.0067357,-0.000630981,0.299840197,-0.475874971,-0.002,0.002333333,0.003666667,0.0075,-0.01106166,1
2010/12/1,0.000368292,-0.000477204,0.042998519,-0.056991898,0,-0.000967742,-0.000967742,0.000806452,0.000964953,1
2011/1/1,-0.000349847,-0.001433218,0.030436866,-0.053884307,0,-0.003225806,-0.003225806,0,0.003235513,1
2011/2/1,0.001467064,-0.000146439,0.165347227,-0.160926652,0,0,0,0.0025,0.016905617,1
2011/3/1,0.001609038,-0.00016061,0.081299388,-0.119538379,0,0,0,0.002741935,0.005071345,1
2011/4/1,0,0,0.095782381,-0.054532565,0,0,0,0,0.00812726,1
2011/5/1,0.001135792,-0.000113372,0.177544912,-0.15279006,0,0,0,0.001935484,0.010113098,1
2011/6/1,0.000701901,0.001129117,0.184492746,-0.094125219,0,0.002833333,0,0.003166667,0.002569434,1
2011/7/1,0.000744816,0.000984207,0.168633224,-0.092076548,0,0.002258065,0.003225806,0,0.001303067,1
2011/8/1,-0.004076165,0.009231362,0.420004328,0.261896088,0.009032258,0.009032258,0.006290323,0.004516129,0.004342716,1
